latitude,longitude,crime_type,time_of_crime,population_density,median_income,education_level,unemployment_rate,proximity_to_transport,proximity_to_parks,proximity_to_schools,proximity_to_bars,historical_crime_data,poverty_rate,housing_density,police_stations,patrol_routes,response_time,weather_conditions
24.42535431,85.47139193,Theft,01-03-2023 22:00,237,78392,0.09092593,0.008689046,0.508668257,0.982314212,0.850107453,0.584320547,14,0.002739517,0.284651623,5,14,24.19094835,Thunderstorm
29.2835295,68.39486628,Burglary,31-12-2023 18:00,93,73044,0.782135363,0.085605546,0.681765864,0.399359386,0.993558558,0.076002433,32,0.4953167,0.459564579,2,5,19.15569721,Fog
26.00069058,82.04170754,Theft,25-03-2023 10:00,365,30709,0.256742408,0.099836367,0.375389219,0.587458832,0.79956393,0.802608107,12,0.048222594,0.19255919,5,18,4.241364252,Rain
24.31058894,88.86697245,Assault,29-09-2023 10:00,327,88765,0.538751858,0.089569519,0.129469522,0.43158607,0.141548972,0.845590339,33,0.225114572,0.774122729,6,9,24.59210355,Fog
20.77072014,69.38848016,Assault,19-12-2023 16:00,414,23969,0.81137704,0.000894925,0.015406446,0.158896438,0.762642795,0.048076096,28,0.077542104,0.247689936,2,5,15.1058141,Rain
27.2601081,93.86997945,Assault,13-04-2023 20:00,62,62190,0.788035369,0.130485772,0.386742336,0.125551703,0.566899538,0.770415872,13,0.021308796,0.152924349,9,5,5.094224446,Clear
21.17754657,83.33838551,Assault,16-10-2023 08:00,418,63264,0.495975027,0.051478555,0.742738467,0.212696153,0.563181241,0.980858871,12,0.250781012,0.87315457,2,5,19.48783032,Snow
34.43977162,68.99836872,Assault,28-10-2023 06:00,148,89025,0.975846413,0.008931765,0.990551734,0.605337811,0.337245646,0.790733108,31,0.298076311,0.260637512,9,18,5.344310181,Rain
36.53895261,74.67531883,Vandalism,11-02-2023 02:00,183,37056,0.497633157,0.100693722,0.463072624,0.546533587,0.160732981,0.397879456,15,0.119555104,0.95083833,9,6,25.14440779,Clear
19.59649235,96.04269791,Robbery,14-06-2023 02:00,326,86301,0.278791417,0.184109477,0.294917177,0.328588432,0.173051941,0.717729364,44,0.335066063,0.277632501,1,10,8.102607386,Snow
